,Borough,areaName,avg_rent,latitude,longitude
5,QUEENS,ASTORIA,1954.833333,40.7720145,-73.9302673
6,QUEENS,AUBURNDALE,1600,40.7614516,-73.7897239
7,BROOKLYN,BATH BEACH,1647.571429,40.6018495,-74.000501
8,MANHATTAN,BATTERY PARK CITY,3679.916667,40.7110166,-74.0169369
9,BROOKLYN,BAY RIDGE,1726.75,40.6339929,-74.0145841
10,BRONX,BAYCHESTER,1708.324444,40.8612222,-73.8412865
11,QUEENS,BAYSIDE,1869.666667,40.7684351,-73.7770774
12,BRONX,BEDFORD PARK,1688.4,40.8700999,-73.8856912
13,BROOKLYN,BEDFORD-STUYVESANT,2201.083333,40.6834364,-73.9412488
14,QUEENS,BELLEROSE,1882.602617,40.7327778,-73.7177778
15,BRONX,BELMONT,1708.324444,40.8552778,-73.8863889
16,BROOKLYN,BENSONHURST,1631.916667,40.6049772,-73.9934061
17,BROOKLYN,BERGEN BEACH,2255.34805,40.6203822,-73.9068033
18,BROOKLYN,BOERUM HILL,2648.5,40.68562615,-73.98417066
19,BROOKLYN,BOROUGH PARK,1628.363636,40.633993,-73.9968059
20,QUEENS,BRIARWOOD,1727.166667,40.7092563,-73.8201394
21,BROOKLYN,BRIGHTON BEACH,1870.083333,40.57964365,-73.96111081
23,BRONX,BRONXWOOD,1643.25,40.88352,-73.8560734
25,BROOKLYN,BROOKLYN HEIGHTS,3083.333333,40.69608485,-73.99502784
26,QUEENS,BROOKVILLE,1882.602617,40.6586906,-73.7461642
27,BROOKLYN,BROWNSVILLE,1612.333333,40.6609369,-73.9201371
28,BROOKLYN,BUSHWICK,2421.666667,40.6942696,-73.9187482
29,QUEENS,CAMBRIA HEIGHTS,1882.602617,40.6945474,-73.7384653
30,BROOKLYN,CANARSIE,2255.34805,40.643715,-73.9006921
31,BROOKLYN,CARROLL GARDENS,2635.75,40.6784201,-73.9948021
32,BRONX,CASTLE HILL,1708.324444,40.8189076,-73.8499209
33,MANHATTAN,CENTRAL HARLEM,2199,40.8078786,-73.9454154
34,MANHATTAN,CENTRAL PARK SOUTH,5776.75,40.7677016,-73.9810169
36,MANHATTAN,CHELSEA,3838.833333,40.7464906,-74.0015283
37,MANHATTAN,CHINATOWN,2263.75,40.7164913,-73.9962504
38,BRONX,CITY ISLAND,1708.324444,40.8473226,-73.7865218
39,MANHATTAN,CIVIC CENTER,3200.132071,40.7136793,-74.0024042
40,QUEENS,CLEARVIEW,1882.602617,40.7827778,-73.7886111
41,BROOKLYN,CLINTON HILL,2584.666667,40.6897222,-73.9652778
42,BRONX,CO-OP CITY,1708.324444,40.8738889,-73.8294444
43,BROOKLYN,COBBLE HILL,2748.416667,40.6875,-73.9980556
44,QUEENS,COLLEGE POINT,1882.602617,40.7876014,-73.8459682
45,BROOKLYN,COLUMBIA ST WATERFRONT DISTRICT,2455,40.6872869,-74.0019197
46,BRONX,CONCOURSE,1692.833333,40.8183725,-73.9274003
47,BROOKLYN,CONEY ISLAND,2318.666667,40.57592745,-73.99219674
48,QUEENS,CORONA,1860.416667,40.7469593,-73.8601456
49,BRONX,COUNTRY CLUB,1708.324444,40.8391667,-73.8197222
50,BRONX,CROTONA PARK EAST,1708.324444,40.8366014,-73.8929618
51,BROOKLYN,CROWN HEIGHTS,2067.583333,40.667471,-73.9435662
52,BROOKLYN,DUMBO,4034.833333,40.7029052,-73.9901167
53,BROOKLYN,DITMAS PARK,1826.25,40.6375307,-73.96344876
54,QUEENS,DOUGLASTON,1882.602617,40.768713,-73.7470765
55,BROOKLYN,DOWNTOWN BROOKLYN,3214.416667,40.6923731,-73.98678818
56,BROOKLYN,DYKER HEIGHTS,1662.5,40.6204716,-74.0116668
58,QUEENS,EAST ELMHURST,1882.602617,40.7612123,-73.8651358
59,BROOKLYN,EAST FLATBUSH,1847.333333,40.6537148,-73.9304151
60,MANHATTAN,EAST HARLEM,2069.833333,40.7947222,-73.9425
61,BROOKLYN,EAST NEW YORK,1818.555556,40.6667702,-73.8823583
62,BRONX,EAST TREMONT,1575,40.8453781,-73.8909693
63,MANHATTAN,EAST VILLAGE,2756.416667,40.7292688,-73.9873613
64,BRONX,EASTCHESTER,1708.324444,40.8884329,-73.8281895
65,BRONX,EDENWALD,1708.324444,40.8841667,-73.8447222
66,QUEENS,ELMHURST,1886,40.7365804,-73.8783932
67,MANHATTAN,FINANCIAL DISTRICT,3765.5,40.7076124,-74.009378
68,BROOKLYN,FLATBUSH,2032.916667,40.6520481,-73.959027
69,MANHATTAN,FLATIRON,4310.416667,40.7410592,-73.98964162
70,BROOKLYN,FLATLANDS,2255.34805,40.6212155,-73.9348597
71,QUEENS,FLORAL PARK,1882.602617,40.7246999,-73.7048024
72,QUEENS,FLUSHING,1787.083333,40.7654301,-73.8174291
73,BRONX,FORDHAM,1591,40.8614754,-73.8905439
74,QUEENS,FOREST HILLS,1957.5,40.7195942,-73.8448553
75,BROOKLYN,FORT GREENE,3040.666667,40.6907711,-73.9766245
76,QUEENS,FRESH MEADOWS,1882.602617,40.7348246,-73.7934668
77,BROOKLYN,GERRITSEN BEACH,2255.34805,40.5929879,-73.9263853
78,QUEENS,GLEN OAKS,1882.602617,40.7470463,-73.7115199
79,QUEENS,GLENDALE,1725,40.7014917,-73.8868028
80,BROOKLYN,GOWANUS,2867.5,40.6791695,-73.9885041
81,MANHATTAN,GRAMERCY PARK,3554.833333,40.73792525,-73.9859324
82,BROOKLYN,GRAVESEND,1679.416667,40.5961338,-73.9739426
83,BROOKLYN,GREENPOINT,2701.5,40.7237134,-73.9509714
84,MANHATTAN,GREENWICH VILLAGE,3698.75,40.7319802,-73.9965658
85,BROOKLYN,GREENWOOD,2113.416667,40.6564349,-74.00392344
86,MANHATTAN,HAMILTON HEIGHTS,2010.583333,40.8241451,-73.9500618
87,BRONX,HIGHBRIDGE,1757.666667,40.84208015,-73.92685703
88,QUEENS,HILLCREST,1882.602617,40.7498243,-73.7976337
89,QUEENS,HOLLIS,1882.602617,40.7134361,-73.7670772
