Average Rent,Category,Latitude,Longitude,Name,Neighborhood
1954.8333329999998,Playground,40.77016370619681,-73.92795953741349,Van Alst Playground,ASTORIA
1954.8333329999998,Playground,40.76828551165684,-73.93109441229943,Astoria Health Playground,ASTORIA
1954.8333329999998,Park,40.77255070089994,-73.93723067875125,Astoria Houses Park,ASTORIA
1954.8333329999998,Park,40.77289065010912,-73.93452114024876,Goodwill Park,ASTORIA
1954.8333329999998,Event Space,40.77157838227701,-73.92687380895596,Renaissance Event Hall,ASTORIA
1954.8333329999998,School,40.77119563014806,-73.92882028475525,P.S. 171 Peter G. Van Alst,ASTORIA
1600.0,Movie Theater,40.760494232177734,-73.79270935058594,Pink Room Theater <3,AUBURNDALE
1600.0,Playground,40.76065739142864,-73.78409790312325,PS 130 Playground,AUBURNDALE
1600.0,School,40.764989766413294,-73.78780561520084,World Journalism Preparatory School,AUBURNDALE
1600.0,School,40.76525470048925,-73.78860569843306,School of Rock Queens,AUBURNDALE
1600.0,School,40.758132,-73.794816,International Nursery School,AUBURNDALE
1600.0,Office,40.759563,-73.791945,Satellite Office Queens Location,AUBURNDALE
1647.5714289999999,Playground,40.602118101806916,-74.00222524108362,Benson Playground,BATH BEACH
1647.5714289999999,Park,40.59706512836673,-73.99834018927032,Bensonhurst Park,BATH BEACH
1647.5714289999999,School,40.6026599,-74.0034525,"Bath Beach Driving School, Inc",BATH BEACH
1647.5714289999999,School,40.601619,-73.997345,Elite High School,BATH BEACH
1647.5714289999999,School,40.60154342651367,-73.99724578857422,Russian School of Mathematics,BATH BEACH
1647.5714289999999,School,40.603664,-74.004811,The Heartshare pre- school,BATH BEACH
1647.5714289999999,School,40.603747,-73.996248,Bensonhurst Driving School,BATH BEACH
1647.5714289999999,School,40.60363006591797,-74.0052490234375,The HeartShare School,BATH BEACH
1647.5714289999999,Office,40.59842036421801,-73.997697455229,Law Office Of Alex CHERNY,BATH BEACH
3679.916667,Movie Theater,40.71500399534887,-74.01493484218707,Regal Battery Park,BATTERY PARK CITY
3679.916667,Playground,40.70807130608137,-74.0156989306793,West Thames Playground,BATTERY PARK CITY
3679.916667,Playground,40.71608487770009,-74.01654817741635,Battery Park City Playground,BATTERY PARK CITY
3679.916667,Playground,40.712012,-74.017397,Kowsky Plaza Playground,BATTERY PARK CITY
3679.916667,Park,40.71162184551406,-74.01790738105774,Battery Park City Esplanade,BATTERY PARK CITY
3679.916667,Park,40.71226601985428,-74.01619564002809,Pumphouse Park,BATTERY PARK CITY
3679.916667,Park,40.70925931824435,-74.01124477386473,Zuccotti Park,BATTERY PARK CITY
3679.916667,Park,40.7132612824142,-74.0115237236023,Silverstein Family Park,BATTERY PARK CITY
3679.916667,Park,40.71093214000678,-74.01740951843192,Gateway Park,BATTERY PARK CITY
3679.916667,Park,40.71038391621699,-74.01386844682942,Liberty Park,BATTERY PARK CITY
3679.916667,Park,40.70921008079804,-74.0168700906925,Rector Park,BATTERY PARK CITY
3679.916667,Park,40.71317346256471,-74.01600305325574,Pier 46 @ Hudson River Park,BATTERY PARK CITY
3679.916667,Park,40.70831129860975,-74.01576778866355,West Thames Park,BATTERY PARK CITY
3679.916667,Park,40.712694373445146,-74.0114698552355,Barclay Park,BATTERY PARK CITY
3679.916667,Event Space,40.70734377022333,-74.01370173762665,3LD Art & Technology Center,BATTERY PARK CITY
3679.916667,School,40.706408652102674,-74.01762608411786,PS 276 - Battery Park City School,BATTERY PARK CITY
3679.916667,School,40.70874896187991,-74.012019296018,High School for Leadership and Public Servicee,BATTERY PARK CITY
3679.916667,School,40.709178333463186,-74.01195528320508,High School of Economics & Finance,BATTERY PARK CITY
3679.916667,School,40.709424,-74.012076,The Quad Preparatory School,BATTERY PARK CITY
3679.916667,School,40.708975,-74.012467,High school for leadership and public service,BATTERY PARK CITY
3679.916667,School,40.7082514308806,-74.01202810836244,New York City Charter School Center,BATTERY PARK CITY
3679.916667,School,40.707493943683495,-74.0132200267128,UASBYW,BATTERY PARK CITY
3679.916667,Pedestrian Plaza,40.71147918701172,-74.01622772216797,Kowsky Plaza,BATTERY PARK CITY
3679.916667,Pedestrian Plaza,40.707711,-74.015672,West Thames Street Pedestrian Bridge,BATTERY PARK CITY
3679.916667,Pedestrian Plaza,40.709709415215194,-74.01327740911277,Albany Plaza,BATTERY PARK CITY
3679.916667,Pedestrian Plaza,40.70925138848449,-74.01374794414238,Washington Street Plaza,BATTERY PARK CITY
3679.916667,Office,40.7124960592739,-74.00986808757679,NYCHA (Central Office),BATTERY PARK CITY
3679.916667,Office,40.71125588292097,-74.01761770248413,Merck - TriBeCa Office,BATTERY PARK CITY
3679.916667,Office,40.708363,-74.014322,Office Of Labor Relations,BATTERY PARK CITY
3679.916667,Office,40.71106519999999,-74.01380188,The Office,BATTERY PARK CITY
3679.916667,Office,40.707992,-74.014029,The Office ,BATTERY PARK CITY
3679.916667,Office,40.713828,-74.015909,Saks Off Fifth Corporate Office,BATTERY PARK CITY
3679.916667,Office,40.713370095890525,-74.00950734881224,The Office,BATTERY PARK CITY
3679.916667,Office,40.713104,-74.015674,Mike's Office - 31st Floor,BATTERY PARK CITY
3679.916667,Office,40.71355350150081,-74.01497592034573,Duygu's Lovely Office,BATTERY PARK CITY
3679.916667,Office,40.710120083653706,-74.01483390011924,90 West Leasing Office,BATTERY PARK CITY
3679.916667,Office,40.71396915136241,-74.01419552516819,Luke's Office,BATTERY PARK CITY
3679.916667,Office,40.710312527976626,-74.01253143656893,"Navillus Contracting, Site Office, World Trade Center",BATTERY PARK CITY
3679.916667,Office,40.71301679283298,-74.01238764890681,GSA Federal Office Building,BATTERY PARK CITY
3679.916667,Office,40.70843743003693,-74.01406928447221,99 Washington St field office,BATTERY PARK CITY
3679.916667,Office,40.709698,-74.012874,DM Office 44-327,BATTERY PARK CITY
3679.916667,Office,40.71397965362095,-74.01427586011309,Tony's Office,BATTERY PARK CITY
3679.916667,Office,40.71083296626989,-74.01223304673594,Spitz's Office at Ignite Health | NY,BATTERY PARK CITY
3679.916667,Office,40.714535,-74.016915,Kate's Office - MBF Asset Management,BATTERY PARK CITY
3679.916667,Office,40.70831140876822,-74.01372499124099,New York City Agency Field Office,BATTERY PARK CITY
3679.916667,Office,40.708702087402344,-74.01271057128906,Brian Lefkowitz' Office | Ignite NY,BATTERY PARK CITY
3679.916667,Office,40.709122,-74.012253,Effective Capital - NY Office,BATTERY PARK CITY
3679.916667,Office,40.71295928955078,-74.01219940185547,Q-Net Office,BATTERY PARK CITY
3679.916667,Office,40.71304389528936,-74.01195760955345,BLAck (Blondies Legal Advisors: charming and keen) New York Office,BATTERY PARK CITY
3679.916667,Office,40.713436126708984,-74.01250457763672,Ericsson WTC Office,BATTERY PARK CITY
3679.916667,Office,40.70723037962022,-74.01346103267684,Touchbase NYC Office,BATTERY PARK CITY
